id,ActivityEquation,BikingOrdinalScaleNum,BikingOrdinalScaleCat,Biking,BoatingOrdinalScaleNum,BoatingOrdinalScaleCat,Boating,CampingOrdinalScaleNum,CampingOrdinalScaleCat,Camping,FishingOrdinalScaleNum,FishingOrdinalScaleCat,Fishing,GardeningOrdinalScaleNum,GardeningOrdinalScaleCat,Gardening,GatheringOrdinalScaleNum,GatheringOrdinalScaleCat,Gathering,HikingOrdinalScaleNum,HikingOrdinalScaleCat,Hiking,HuntingOrdinalScaleNum,HuntingOrdinalScaleCat,Hunting,JoggingOrdinalScaleNum,JoggingOrdinalScaleCat,Jogging,PhotographyOrdinalScaleNum,PhotographyOrdinalScaleCat,Photography,RelaxOthersOrdinalScaleNum,RelaxOthersOrdinalScaleCat,RelaxOthers,RelaxMyselfOrdinalScaleNum,RelaxMyselfOrdinalScaleCat,RelaxMyself,RockClimbingOrdinalScaleNum,RockClimbingOrdinalScaleCat,RockClimbing,WalkingOrdinalScaleNum,WalkingOrdinalScaleCat,Walking,WildlifeOrdinalScaleNum,WildlifeOrdinalScaleCat,Wildlife,BENE_AESTH,BENE_CREATIVE,BENE_TRADITION,BENE_FOOD,BENE_ID,BENE_LIFELESSON,BENE_MENTALWB,BENE_EXER,BENE_FUN,BENE_FAMILIAR,BENE_SOCIAL,BENE_SPIRTUAL,BENE_CARE,BENE_R_AESTH,BENE_R_CREATIVE,BENE_R_TRADITION,BENE_R_FOOD,BENE_R_ID,BENE_R_LIFELESSON,BENE_R_MENTALWB,BENE_R_EXER,BENE_R_FUN,BENE_R_FAMILIAR,BENE_R_SOCIAL,BENE_R_SPIRITUAL,BENE_R_CARE,BENE_RB_AESTH,BENE_RB_CREATIVE,BENE_RB_TRADITION,BENE_RB_FOOD,BENE_RB_ID,BENE_RB_LIFELESSON,BENE_RB_MENTALWB,BENE_RB_EXER,BENE_RB_FUN,BENE_RB_FAMILIAR,BENE_RB_SOCIAL,BENE_RB_SPIRITUAL,BENE_RB_CARE,BenefitsRank[1],BenefitsRank[2],BenefitsRank[3],Unranked,UA v. FA,Zip,LSAD10,UATYP10,GeographyCat,GeographyCatNum,GeographyCatNumInverse,Age,BirthYear,GenderCat,GenderCatNum,GenderCatNumInverse,Gender,Race/EthnicityCatNum,Race/EthnicityCatNumInverse,Race/EthnicityCat,RaceEthnicit1[SQ001],RaceEthnicit1[SQ002],RaceEthnicit1[SQ003],RaceEthnicit1[SQ004],RaceEthnicit1[SQ005],RaceEthnicit1[SQ006],RaceEthnicit7[SQ007],IncomeCat,IncomeCatNum,IncomeCatNumInverse,Income,EmploymentCatNum,EmploymentCatNumInverse,EmploymentCat,Employment[SQ001],Employment[SQ002],Employment[SQ003],Employment[SQ004],Employment[SQ005],Employment[SQ006]
6,A1  A1  A5  A1  A7  A6  A7  A1  A8  A5  A1  A5  A1  A7  A8   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,3,More,A7,3,More,A6,3,More,A7,0,Doesn't do activity,A1,3,More,A8,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,3,More,A7,3,More,A8,7,6,5,5,7,7,7,7,7,7,5,7,7,3,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,A7,A12,A1,0,1,5401,75,U,Urban area,1,0,29,1991,Female,1,0,A2,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,,,Y,,
9,A5  A5  A5  A1  A6  A6  A5  A1  A7  A1  A4  A3  A1  A7  A6   ,2,No change,A5,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,3,More,A7,0,Doesn't do activity,A1,1,Less,A4,1,Less,A3,0,Doesn't do activity,A1,3,More,A7,3,More,A6,7,5,5,4,6,5,7,6,5,6,5,6,6,1,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,A1,A5,A7,0,1,5661,99,R,Not urban area,0,1,67,1953,Female,1,0,A2,0,1,White,,,,,,,Y,Above Median Range,3,1,A8,0,1,All other fields,,,,Y,,
10,A6  A4  A2  A5  A7  A6  A4  A6  A5  A1  A4  A5  A1  A4  A5   ,3,More,A6,1,Less,A4,1,Less,A2,2,No change,A5,3,More,A7,3,More,A6,1,Less,A4,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,1,Less,A4,2,No change,A5,0,Doesn't do activity,A1,1,Less,A4,2,No change,A5,7,5,7,7,7,6,7,7,6,6,7,7,5,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,A5,A4,A6,0,3,5827,99,R,Not urban area,0,1,29,1991,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A8,0,1,All other fields,,,,Y,,
11,A1  A1  A1  A1  A6  A1  A2  A1  A1  A7  A3  A1  A1  A3  A3   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,1,Less,A2,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A7,1,Less,A3,0,Doesn't do activity,A1,0,Doesn't do activity,A1,1,Less,A3,1,Less,A3,7,7,4,4,7,7,7,7,7,7,7,7,7,2,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,A8,A1,A7,0,1,5401,75,U,Urban area,1,0,49,1971,Female,1,0,A2,1,0,All but white,Y,,,,,,Y,Below Median Range,1,3,A1,0,1,All other fields,,,,,,Y
12,A6  A4  A3  A1  A7  A1  A5  A1  A1  A1  A3  A6  A1  A4  A1   ,3,More,A6,1,Less,A4,1,Less,A3,0,Doesn't do activity,A1,3,More,A7,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,1,Less,A3,3,More,A6,0,Doesn't do activity,A1,1,Less,A4,0,Doesn't do activity,A1,5,5,5,3,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,A13,A7,A1,0,1,5487,99,R,Not urban area,0,1,64,1956,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,,,,,Y
13,A5  A5  A3  A6  A5  A6  A5  A6  A6  A1  A3  A6  A1  A6  A5   ,2,No change,A5,2,No change,A5,1,Less,A3,3,More,A6,2,No change,A5,3,More,A6,2,No change,A5,3,More,A6,3,More,A6,0,Doesn't do activity,A1,1,Less,A3,3,More,A6,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,7,5,7,6,7,7,7,7,7,7,7,7,6,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,A12,A10,A3,0,2,5872,99,R,Not urban area,0,1,43,1977,Male,0,1,A1,0,1,White,,,,,,,Y,Median Range,2,2,A4,99,99,99,,Y,Y,,,
14,A6  A5  A1  A5  A6  A1  A5  A1  A2  A1  A2  A5  A1  A7  A6   ,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,3,More,A6,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,1,Less,A2,0,Doesn't do activity,A1,1,Less,A2,2,No change,A5,0,Doesn't do activity,A1,3,More,A7,3,More,A6,4,4,4,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,A1,A7,A9,0,1,5602,76,C,Not urban area,0,1,32,1988,Female,1,0,A2,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,,,Y,
15,A5  A5  A1  A1  A5  A1  A5  A1  A1  A1  A2  A7  A8  A1  A1   ,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,1,Less,A2,3,More,A7,3,More,A8,0,Doesn't do activity,A1,0,Doesn't do activity,A1,7,7,7,2,7,7,7,7,7,7,4,7,7,1,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,A1,A5,A7,0,1,5672,99,R,Not urban area,0,1,67,1953,Female,1,0,A2,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,Y,,,,
16,A1  A1  A1  A1  A7  A6  A5  A5  A1  A5  A2  A8  A5  A6  A6   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A7,3,More,A6,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,1,Less,A2,3,More,A8,2,No change,A5,3,More,A6,3,More,A6,7,7,5,7,7,7,7,6,5,7,7,7,7,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,A13,A7,A4,0,2,5767,99,R,Not urban area,0,1,57,1963,Female,1,0,A2,1,0,All but white,Y,Y,Y,Y,Y,Y,Y,Below Median Range,1,3,A2,1,0,Lost job,Y,,,,,
18,A1  A5  A5  A5  A5  A1  A5  A7  A5  A5  A7  A5  A1  A7  A7   ,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,3,More,A7,2,No change,A5,2,No change,A5,3,More,A7,2,No change,A5,0,Doesn't do activity,A1,3,More,A7,3,More,A7,7,7,7,6,7,7,7,5,7,7,7,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,5495,75,U,Urban area,1,0,24,1996,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A2,0,1,All other fields,,,Y,,,
